,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Kevin Cutler,,7,6,1,0.857,97.1,,111.7,19.6,17.9,7.1,2.3,,106.7,16.1,19.9,8.6,1.3,,5.0,3.5,-2.0,-1.5,1.0
1,2,Marc Davis,,3,3,0,1.0,94.0,,123.3,11.0,16.3,7.3,1.7,,97.7,17.3,14.3,6.0,1.0,,25.6,-6.3,2.0,1.3,0.7
2,3,Leon Wood,,5,3,2,0.6,97.7,,111.5,18.6,20.6,8.4,3.7,,106.8,19.2,18.6,7.8,1.4,,4.7,-0.6,2.0,0.6,2.3
3,4,Mark Lindsay,,5,4,1,0.8,99.7,,115.8,18.4,17.2,8.4,1.8,,108.0,17.4,18.0,7.2,1.8,,7.8,1.0,-0.8,1.2,0.0
4,5,Phenizee Ransom,,5,2,3,0.4,98.8,,107.2,19.6,21.0,9.6,2.4,,110.2,21.8,20.4,9.0,2.2,,-3.0,-2.2,0.6,0.6,0.2
5,6,Sean Wright,,5,4,1,0.8,99.5,,110.4,20.2,20.0,9.6,2.2,,102.2,21.4,20.4,8.8,2.0,,8.2,-1.2,-0.4,0.8,0.2
6,7,Tony Brothers,,5,3,2,0.6,99.6,,107.4,20.0,21.0,9.8,3.0,,110.0,24.2,20.8,8.0,1.6,,-2.6,-4.2,0.2,1.8,1.4
7,8,Nick Buchert,,5,1,4,0.2,94.8,,96.8,19.0,17.6,9.0,2.2,,108.4,19.6,18.8,8.0,1.6,,-11.6,-0.6,-1.2,1.0,0.6
8,9,Tom Washington,,5,2,3,0.4,95.3,,107.0,10.4,20.8,9.8,1.8,,108.6,22.6,16.0,6.2,2.0,,-1.6,-12.2,4.8,3.6,-0.2
9,10,Brandon Adair,,3,1,2,0.333,94.9,,109.5,19.3,17.1,7.7,1.9,,118.9,19.7,20.6,8.1,1.6,,-9.4,-0.4,-3.5,-0.4,0.3
10,11,Derrick Collins,,4,1,3,0.25,96.9,,115.8,23.3,20.8,9.0,1.8,,120.5,21.8,21.3,9.8,1.3,,-4.7,1.5,-0.5,-0.8,0.5
11,12,David Guthrie,,4,1,3,0.25,95.9,,110.1,21.9,20.5,9.7,1.9,,116.7,24.4,20.0,9.0,1.5,,-6.6,-2.5,0.5,0.7,0.4
12,13,Bennie Adams,,3,3,0,1.0,100.4,,120.3,20.7,24.7,13.0,2.7,,97.7,29.3,20.0,8.7,1.7,,22.6,-8.6,4.7,4.3,1.0
13,14,Scott Foster,,3,2,1,0.667,98.5,,112.8,16.4,23.2,10.3,3.5,,97.9,22.9,16.4,8.1,1.0,,14.9,-6.5,6.8,2.2,2.5
14,15,J.T. Orr,,6,4,2,0.667,96.0,,111.3,20.3,20.0,8.5,2.3,,100.8,20.7,18.8,8.3,1.3,,10.5,-0.4,1.2,0.2,1.0
15,16,Ray Acosta,,4,3,1,0.75,98.1,,106.0,20.3,19.8,8.8,2.8,,103.3,21.5,22.0,8.3,2.0,,2.7,-1.2,-2.2,0.5,0.8
16,17,Justin Van Duyne,,7,3,4,0.429,97.8,,113.0,21.1,21.1,9.9,2.1,,113.0,24.9,20.0,9.0,1.0,,0.0,-3.8,1.1,0.9,1.1
17,18,Curtis Blair,,3,1,2,0.333,96.8,,101.7,14.3,16.7,7.3,2.3,,106.3,16.0,19.3,6.7,2.3,,-4.6,-1.7,-2.6,0.6,0.0
18,19,Matt Boland,,3,1,2,0.333,99.4,,106.0,17.3,17.7,9.7,1.0,,111.7,20.0,16.7,8.3,1.3,,-5.7,-2.7,1.0,1.4,-0.3
19,20,Jenna Schroeder,,4,3,1,0.75,96.3,,111.0,17.3,17.3,8.8,1.3,,106.0,18.0,17.0,7.8,2.0,,5.0,-0.7,0.3,1.0,-0.7
20,21,Karl Lane,,5,1,4,0.2,97.1,,107.6,21.0,20.8,9.2,1.0,,110.8,23.8,21.2,9.0,1.2,,-3.2,-2.8,-0.4,0.2,-0.2
21,22,Brandon Schwab,,1,0,1,0.0,94.2,,106.0,13.0,16.0,7.0,1.0,,108.0,14.0,16.0,7.0,1.0,,-2.0,-1.0,0.0,0.0,0.0
22,23,Lauren Holtkamp-Sterling,,3,3,0,1.0,96.0,,105.7,23.2,18.0,8.4,1.3,,102.1,15.5,19.0,9.3,1.9,,3.6,7.7,-1.0,-0.9,-0.6
23,24,Evan Scott,,2,2,0,1.0,96.8,,100.5,18.0,20.0,9.5,3.5,,97.0,21.0,19.0,8.5,2.5,,3.5,-3.0,1.0,1.0,1.0
24,25,Josh Tiven,,5,3,2,0.6,98.7,,118.5,20.8,23.5,12.1,1.6,,114.4,30.6,17.4,9.8,1.2,,4.1,-9.8,6.1,2.3,0.4
25,26,John Conley,,2,1,1,0.5,96.1,,111.0,19.5,22.0,9.0,2.5,,105.5,21.5,19.0,8.0,1.5,,5.5,-2.0,3.0,1.0,1.0
26,27,Kevin Scott,,5,3,2,0.6,94.7,,107.6,19.0,19.8,10.4,1.6,,104.0,22.0,19.8,7.8,0.8,,3.6,-3.0,0.0,2.6,0.8
27,28,Michael Smith,,3,1,2,0.333,94.4,,110.8,21.3,22.6,11.9,2.9,,110.2,24.5,19.3,8.1,1.0,,0.6,-3.2,3.3,3.8,1.9
28,29,Jacyn Goble,,3,2,1,0.667,97.9,,120.7,30.0,20.7,11.0,2.0,,119.3,23.3,24.0,13.7,1.3,,1.4,6.7,-3.3,-2.7,0.7
29,30,Bill Kennedy,,6,4,2,0.667,96.1,,105.3,21.8,17.0,7.7,1.8,,109.2,15.8,21.0,9.0,2.0,,-3.9,6.0,-4.0,-1.3,-0.2
30,31,Jonathan Sterling,,4,3,1,0.75,94.3,,116.8,19.8,17.8,8.5,2.5,,112.8,16.5,19.8,8.0,1.8,,4.0,3.3,-2.0,0.5,0.7
31,32,Brett Nansel,,5,5,0,1.0,97.6,,120.4,26.2,18.8,9.2,1.2,,105.4,19.0,21.6,12.8,0.2,,15.0,7.2,-2.8,-3.6,1.0
32,33,Derek Richardson,,8,5,3,0.625,99.0,,114.6,19.3,20.6,9.8,1.3,,109.3,24.8,20.3,8.8,1.8,,5.3,-5.5,0.3,1.0,-0.5
33,34,C.J. Washington,,2,1,1,0.5,94.8,,112.5,22.0,19.5,8.5,1.5,,111.0,17.0,21.5,8.5,1.0,,1.5,5.0,-2.0,0.0,0.5
34,35,John Butler,,5,2,3,0.4,94.2,,102.4,16.4,20.0,10.2,0.6,,107.2,25.2,18.0,8.4,1.2,,-4.8,-8.8,2.0,1.8,-0.6
35,36,Pat Fraher,,5,2,3,0.4,96.8,,112.6,21.4,19.6,8.8,1.6,,114.8,23.0,20.4,8.8,1.6,,-2.2,-1.6,-0.8,0.0,0.0
36,37,Scott Twardoski,,5,2,3,0.4,94.9,,112.2,22.8,18.2,8.8,0.8,,108.8,19.2,20.6,10.2,1.2,,3.4,3.6,-2.4,-1.4,-0.4
37,38,J.B. DeRosa,,5,3,2,0.6,97.0,,116.2,26.1,20.0,9.4,1.9,,117.5,23.4,21.5,10.8,2.1,,-1.3,2.7,-1.5,-1.4,-0.2
38,39,James Williams,,5,3,2,0.6,97.0,,109.7,21.4,18.6,8.0,2.7,,109.1,17.4,19.6,10.0,1.8,,0.6,4.0,-1.0,-2.0,0.9
39,40,Mousa Dagher,,6,2,4,0.333,100.5,,109.7,21.5,20.8,9.8,1.8,,117.5,23.3,22.0,8.7,2.0,,-7.8,-1.8,-1.2,1.1,-0.2
40,41,Kane Fitzgerald,,3,2,1,0.667,97.7,,113.3,24.3,22.7,11.3,1.0,,113.0,25.7,19.7,10.3,2.7,,0.3,-1.4,3.0,1.0,-1.7
41,42,Natalie Sago,,4,2,2,0.5,96.1,,107.3,26.3,21.8,11.5,2.5,,112.3,26.5,19.8,10.0,1.8,,-5.0,-0.2,2.0,1.5,0.7
42,43,Aaron Smith,,3,2,1,0.667,92.9,,112.0,21.0,18.0,8.3,1.7,,110.3,19.0,19.0,9.0,1.3,,1.7,2.0,-1.0,-0.7,0.4
43,44,Gediminas Petraitis,,3,2,1,0.667,97.7,,119.5,25.1,20.9,10.0,2.6,,114.0,22.9,20.3,11.0,1.6,,5.5,2.2,0.6,-1.0,1.0
44,45,Suyash Mehta,,2,1,1,0.5,99.0,,112.0,22.5,19.5,11.0,1.0,,109.5,21.5,17.0,10.5,1.0,,2.5,1.0,2.5,0.5,0.0
45,46,Dedric Taylor,,4,1,3,0.25,98.2,,109.3,20.3,18.3,9.8,0.5,,107.8,19.5,17.5,10.3,0.5,,1.5,0.8,0.8,-0.5,0.0
46,47,Brent Barnaky,,4,4,0,1.0,97.6,,111.3,20.0,19.5,9.0,2.8,,102.3,21.5,19.5,7.3,1.3,,9.0,-1.5,0.0,1.7,1.5
47,48,Andy Nagy,,2,2,0,1.0,93.4,,115.0,14.0,20.5,8.5,2.5,,105.0,20.0,20.5,4.5,2.5,,10.0,-6.0,0.0,4.0,0.0
48,49,Brian Forte,,6,5,1,0.833,95.3,,115.8,21.6,17.9,10.0,1.5,,111.9,20.0,18.8,8.2,1.3,,3.9,1.6,-0.9,1.8,0.2
49,50,Zach Zarba,,5,3,2,0.6,97.2,,110.3,20.8,19.6,7.2,1.2,,108.7,18.8,19.6,9.6,1.8,,1.6,2.0,0.0,-2.4,-0.6
50,51,Tyler Ford,,3,2,1,0.667,97.4,,117.0,21.7,20.7,9.7,1.7,,109.3,22.0,20.3,9.3,0.7,,7.7,-0.3,0.4,0.4,1.0
51,52,Eric Dalen,,4,3,1,0.75,94.0,,106.5,20.5,17.3,7.8,1.8,,104.8,18.0,17.5,9.5,0.5,,1.7,2.5,-0.2,-1.7,1.3
52,53,Dannica Mosher,,1,1,0,1.0,101.4,,113.0,33.0,19.0,8.0,2.0,,107.0,21.0,26.0,12.0,2.0,,6.0,12.0,-7.0,-4.0,0.0
53,54,Mitchell Ervin,,3,1,2,0.333,101.5,,121.4,28.3,21.6,12.2,1.3,,125.0,27.1,23.2,11.3,1.3,,-3.6,1.2,-1.6,0.9,0.0
54,55,Sean Corbin,,1,1,0,1.0,103.7,,133.0,18.0,22.0,13.0,1.0,,115.0,34.0,17.0,7.0,0.0,,18.0,-16.0,5.0,6.0,1.0
55,56,Ben Taylor,,2,1,1,0.5,103.7,,117.5,18.5,23.0,9.5,3.5,,112.5,21.0,19.0,8.0,0.5,,5.0,-2.5,4.0,1.5,3.0
56,57,Courtney Kirkland,,4,1,3,0.25,97.7,,111.5,22.8,20.8,9.3,2.0,,114.3,21.5,21.0,10.3,1.0,,-2.8,1.3,-0.2,-1.0,1.0
57,58,Ed Malloy,,3,2,1,0.667,96.3,,115.0,27.0,20.3,11.0,3.0,,112.0,22.7,21.7,9.7,1.0,,3.0,4.3,-1.4,1.3,2.0
58,59,James Capers Jr.,,4,2,2,0.5,98.3,,126.0,28.0,21.5,11.0,1.3,,118.0,24.0,22.8,12.0,0.8,,8.0,4.0,-1.3,-1.0,0.5
59,60,Tre Maddox,,2,1,1,0.5,101.2,,118.5,16.0,22.0,11.0,1.5,,112.0,26.0,16.0,7.5,2.0,,6.5,-10.0,6.0,3.5,-0.5
60,61,John Goble,,1,1,0,1.0,92.7,,133.0,17.0,17.0,8.0,0.0,,96.0,19.0,15.0,8.0,0.0,,37.0,-2.0,2.0,0.0,0.0
61,62,Scott Wall,,1,0,1,0.0,100.6,,118.0,23.0,25.0,11.0,0.0,,122.0,40.0,24.0,10.0,3.0,,-4.0,-17.0,1.0,1.0,-3.0
62,63,Eric Lewis,,3,3,0,1.0,99.3,,120.7,28.0,23.7,12.0,2.7,,115.0,24.7,25.3,10.3,2.7,,5.7,3.3,-1.6,1.7,0.0
63,64,Danielle Scott,,2,1,1,0.5,102.4,,118.0,25.5,17.5,10.0,0.5,,120.5,24.0,20.0,10.0,0.5,,-2.5,1.5,-2.5,0.0,0.0
