,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Minnesota Timberwolves,L,,106,124,0,1,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
1,2,2021-10-22,,,Box Score,,Oklahoma City Thunder,W,,124,91,1,1,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
2,3,2021-10-24,,,Box Score,,Boston Celtics,L,,97,107,1,2,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
3,4,2021-10-26,,,Box Score,@,Dallas Mavericks,L,,106,116,1,3,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
4,5,2021-10-28,,,Box Score,,Utah Jazz,L,,91,122,1,4,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
5,6,2021-10-31,,,Box Score,@,Los Angeles Lakers,L,,85,95,1,5,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
6,7,2021-11-02,,,Box Score,@,Los Angeles Lakers,L,,117,119,1,6,J. Green · K. Porter · A. Şengün · J. Tate · C. Wood
7,8,2021-11-04,,,Box Score,@,Phoenix Suns,L,,111,123,1,7,J. Green · K. Porter · A. Şengün · J. Tate · C. Wood
8,9,2021-11-06,,,Box Score,@,Denver Nuggets,L,,94,95,1,8,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
9,10,2021-11-07,,,Box Score,@,Golden State Warriors,L,,107,120,1,9,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
10,11,2021-11-10,,,Box Score,,Detroit Pistons,L,,104,112,1,10,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
11,12,2021-11-12,,,Box Score,,Portland Trail Blazers,L,,92,104,1,11,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
12,13,2021-11-14,,,Box Score,,Phoenix Suns,L,,89,115,1,12,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
13,14,2021-11-15,,,Box Score,@,Memphis Grizzlies,L,,102,136,1,13,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
14,15,2021-11-17,,,Box Score,@,Oklahoma City Thunder,L,,89,101,1,14,E. Gordon · J. Green · D. House · J. Tate · C. Wood
15,16,2021-11-20,,,Box Score,@,New York Knicks,L,,99,106,1,15,E. Gordon · J. Green · J. Tate · D. Theis · C. Wood
16,17,2021-11-22,,,Box Score,@,Boston Celtics,L,,90,108,1,16,E. Gordon · J. Green · J. Tate · D. Theis · C. Wood
17,18,2021-11-24,,,Box Score,,Chicago Bulls,W,,118,113,2,16,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
18,19,2021-11-27,,,Box Score,,Charlotte Hornets,W,OT,146,143,3,16,E. Gordon · G. Mathews · K. Porter · J. Tate · C. Wood
19,20,2021-11-29,,,Box Score,,Oklahoma City Thunder,W,,102,89,4,16,E. Gordon · G. Mathews · K. Porter · J. Tate · C. Wood
20,21,2021-12-01,,,Box Score,@,Oklahoma City Thunder,W,,114,110,5,16,E. Gordon · G. Mathews · K. Porter · J. Tate · C. Wood
21,22,2021-12-03,,,Box Score,,Orlando Magic,W,,118,116,6,16,E. Gordon · G. Mathews · K. Porter · J. Tate · C. Wood
22,23,2021-12-05,,,Box Score,,New Orleans Pelicans,W,,118,108,7,16,E. Gordon · G. Mathews · J. Tate · D. Theis · C. Wood
23,24,2021-12-08,,,Box Score,,Brooklyn Nets,W,,114,104,8,16,A. Brooks · E. Gordon · G. Mathews · J. Tate · C. Wood
24,25,2021-12-10,,,Box Score,,Milwaukee Bucks,L,,114,123,8,17,A. Brooks · E. Gordon · G. Mathews · J. Tate · C. Wood
25,26,2021-12-11,,,Box Score,@,Memphis Grizzlies,L,,106,113,8,18,D. Augustin · G. Mathews · J. Tate · D. Theis · C. Wood
26,27,2021-12-13,,,Box Score,@,Atlanta Hawks,W,,132,126,9,18,A. Brooks · E. Gordon · G. Mathews · J. Tate · C. Wood
27,28,2021-12-15,,,Box Score,@,Cleveland Cavaliers,L,,89,124,9,19,D. Augustin · A. Brooks · G. Mathews · J. Tate · D. Theis
28,29,2021-12-16,,,Box Score,,New York Knicks,L,,103,116,9,20,A. Brooks · E. Gordon · G. Mathews · J. Tate · D. Theis
29,30,2021-12-18,,,Box Score,@,Detroit Pistons,W,,116,107,10,20,J. Christopher · E. Gordon · G. Mathews · J. Tate · C. Wood
30,31,2021-12-20,,,Box Score,@,Chicago Bulls,L,,118,133,10,21,A. Brooks · E. Gordon · G. Mathews · J. Tate · C. Wood
31,32,2021-12-22,,,Box Score,@,Milwaukee Bucks,L,,106,126,10,22,A. Brooks · E. Gordon · G. Mathews · J. Tate · C. Wood
32,33,2021-12-23,,,Box Score,@,Indiana Pacers,L,,106,118,10,23,E. Gordon · J. Green · G. Mathews · J. Tate · C. Wood
33,34,2021-12-27,,,Box Score,@,Charlotte Hornets,L,,99,123,10,24,A. Brooks · J. Christopher · E. Gordon · D. Nwaba · C. Wood
34,35,2021-12-28,,,Box Score,,Los Angeles Lakers,L,,123,132,10,25,E. Gordon · J. Green · D. Nwaba · K. Porter · C. Wood
35,36,2021-12-31,,,Box Score,,Miami Heat,L,,110,120,10,26,E. Gordon · J. Green · D. Nwaba · K. Porter · C. Wood
36,37,2022-01-01,,,Box Score,,Denver Nuggets,L,,111,124,10,27,J. Green · D. Nwaba · K. Porter · J. Tate · D. Theis
37,38,2022-01-03,,,Box Score,@,Philadelphia 76ers,L,,113,133,10,28,E. Gordon · J. Green · G. Mathews · J. Tate · D. Theis
38,39,2022-01-05,,,Box Score,@,Washington Wizards,W,,114,111,11,28,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
39,40,2022-01-07,,,Box Score,,Dallas Mavericks,L,,106,130,11,29,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
40,41,2022-01-09,,,Box Score,,Minnesota Timberwolves,L,,123,141,11,30,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
41,42,2022-01-10,,,Box Score,,Philadelphia 76ers,L,,91,111,11,31,J. Green · K. Porter · J. Tate · D. Theis · C. Wood
42,43,2022-01-12,,,Box Score,@,San Antonio Spurs,W,,128,124,12,31,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
43,44,2022-01-14,,,Box Score,@,Sacramento Kings,L,,114,126,12,32,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
44,45,2022-01-16,,,Box Score,@,Sacramento Kings,W,,118,112,13,32,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
45,46,2022-01-19,,,Box Score,@,Utah Jazz,W,,116,111,14,32,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
46,47,2022-01-21,,,Box Score,@,Golden State Warriors,L,,103,105,14,33,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
47,48,2022-01-25,,,Box Score,,San Antonio Spurs,L,,104,134,14,34,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
48,49,2022-01-28,,,Box Score,,Portland Trail Blazers,L,,110,125,14,35,E. Gordon · J. Green · G. Mathews · J. Tate · C. Wood
49,50,2022-01-31,,,Box Score,,Golden State Warriors,L,,108,122,14,36,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
50,51,2022-02-02,,,Box Score,,Cleveland Cavaliers,W,,115,104,15,36,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
51,52,2022-02-04,,,Box Score,@,San Antonio Spurs,L,,106,131,15,37,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
52,53,2022-02-06,,,Box Score,,New Orleans Pelicans,L,,107,120,15,38,J. Green · K. Porter · A. Şengün · J. Tate · C. Wood
53,54,2022-02-08,,,Box Score,@,New Orleans Pelicans,L,,97,110,15,39,J. Green · K. Porter · A. Şengün · J. Tate · C. Wood
54,55,2022-02-10,,,Box Score,,Toronto Raptors,L,,120,139,15,40,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
55,56,2022-02-14,,,Box Score,@,Utah Jazz,L,,101,135,15,41,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
56,57,2022-02-16,,,Box Score,@,Phoenix Suns,L,,121,124,15,42,E. Gordon · J. Green · D. Schröder · A. Şengün · J. Tate
57,58,2022-02-17,,,Box Score,@,Los Angeles Clippers,L,,111,142,15,43,J. Green · G. Mathews · D. Schröder · J. Tate · C. Wood
58,59,2022-02-25,,,Box Score,@,Orlando Magic,L,,111,119,15,44,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
59,60,2022-02-27,,,Box Score,,Los Angeles Clippers,L,,98,99,15,45,E. Gordon · J. Green · D. Schröder · J. Tate · C. Wood
60,61,2022-03-01,,,Box Score,,Los Angeles Clippers,L,,100,113,15,46,E. Gordon · J. Green · D. Schröder · J. Tate · C. Wood
61,62,2022-03-02,,,Box Score,,Utah Jazz,L,OT,127,132,15,47,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
62,63,2022-03-04,,,Box Score,@,Denver Nuggets,L,,101,116,15,48,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
63,64,2022-03-06,,,Box Score,,Memphis Grizzlies,W,,123,112,16,48,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
64,65,2022-03-07,,,Box Score,@,Miami Heat,L,,106,123,16,49,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
65,66,2022-03-09,,,Box Score,,Los Angeles Lakers,W,OT,139,130,17,49,E. Gordon · J. Green · K. Martin · K. Porter · A. Şengün
66,67,2022-03-11,,,Box Score,,Dallas Mavericks,L,,100,113,17,50,E. Gordon · J. Green · K. Martin · K. Porter · A. Şengün
67,68,2022-03-13,,,Box Score,@,New Orleans Pelicans,L,,105,130,17,51,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
68,69,2022-03-16,,,Box Score,,Phoenix Suns,L,,112,129,17,52,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
69,70,2022-03-18,,,Box Score,,Indiana Pacers,L,,118,121,17,53,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
70,71,2022-03-20,,,Box Score,,Memphis Grizzlies,L,,98,122,17,54,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
71,72,2022-03-21,,,Box Score,,Washington Wizards,W,,115,97,18,54,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
72,73,2022-03-23,,,Box Score,@,Dallas Mavericks,L,,91,110,18,55,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
73,74,2022-03-25,,,Box Score,@,Portland Trail Blazers,W,,125,106,19,55,E. Gordon · J. Green · K. Porter · J. Tate · C. Wood
74,75,2022-03-26,,,Box Score,@,Portland Trail Blazers,W,,115,98,20,55,J. Green · G. Mathews · K. Porter · J. Tate · C. Wood
75,76,2022-03-28,,,Box Score,,San Antonio Spurs,L,,120,123,20,56,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
76,77,2022-03-30,,,Box Score,,Sacramento Kings,L,,118,121,20,57,U. Garuba · J. Green · G. Mathews · K. Porter · J. Tate
77,78,2022-04-01,,,Box Score,,Sacramento Kings,L,,117,122,20,58,U. Garuba · J. Green · G. Mathews · K. Porter · J. Tate
78,79,2022-04-03,,,Box Score,,Minnesota Timberwolves,L,,132,139,20,59,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
79,80,2022-04-05,,,Box Score,@,Brooklyn Nets,L,,105,118,20,60,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
80,81,2022-04-08,,,Box Score,@,Toronto Raptors,L,,115,117,20,61,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
81,82,2022-04-10,,,Box Score,,Atlanta Hawks,L,,114,130,20,62,J. Green · G. Mathews · K. Porter · A. Şengün · J. Tate
